CMDLINE /usr/bin/python3 rrt.py
MEM 63.921875 1717599091.6940
MEM 63.921875 1717599091.7947
MEM 63.921875 1717599091.8953
MEM 63.921875 1717599091.9957
MEM 63.921875 1717599092.0963
MEM 63.921875 1717599092.1966
MEM 63.921875 1717599092.2973
MEM 63.921875 1717599092.3976
MEM 63.921875 1717599092.4983
MEM 63.921875 1717599092.5986
MEM 63.921875 1717599092.6993
MEM 63.921875 1717599092.7996
MEM 63.921875 1717599092.9003
MEM 63.921875 1717599093.0006
MEM 63.921875 1717599093.1013
MEM 63.921875 1717599093.2016
MEM 63.921875 1717599093.3023
MEM 63.921875 1717599093.4030
MEM 63.921875 1717599093.5036
MEM 63.921875 1717599093.6043
MEM 63.921875 1717599093.7047
MEM 63.921875 1717599093.8053
MEM 63.921875 1717599093.9057
MEM 63.921875 1717599094.0064
MEM 63.921875 1717599094.1071
MEM 63.921875 1717599094.2076
MEM 63.921875 1717599094.3083
MEM 63.921875 1717599094.4086
MEM 63.921875 1717599094.5093
MEM 63.921875 1717599094.6096
MEM 63.921875 1717599094.7103
MEM 63.921875 1717599094.8106
MEM 63.921875 1717599094.9113
MEM 63.921875 1717599095.0116
MEM 63.921875 1717599095.1123
MEM 63.921875 1717599095.2126
MEM 63.921875 1717599095.3133
MEM 63.921875 1717599095.4137
MEM 63.921875 1717599095.5143
MEM 63.921875 1717599095.6146
MEM 63.921875 1717599095.7153
MEM 63.921875 1717599095.8160
MEM 63.921875 1717599095.9166
MEM 63.921875 1717599096.0173
MEM 63.921875 1717599096.1176
MEM 63.921875 1717599096.2183
MEM 63.921875 1717599096.3190
MEM 63.921875 1717599096.4197
MEM 63.921875 1717599096.5203
MEM 63.921875 1717599096.6206
MEM 63.921875 1717599096.7213
MEM 63.921875 1717599096.8216
MEM 63.921875 1717599096.9223
MEM 63.921875 1717599097.0226
MEM 63.921875 1717599097.1233
MEM 63.921875 1717599097.2236
MEM 63.921875 1717599097.3243
MEM 63.921875 1717599097.4246
MEM 63.921875 1717599097.5254
MEM 63.921875 1717599097.6256
MEM 63.921875 1717599097.7263
MEM 63.921875 1717599097.8266
MEM 63.921875 1717599097.9273
MEM 63.921875 1717599098.0276
MEM 63.921875 1717599098.1283
MEM 63.921875 1717599098.2287
MEM 63.921875 1717599098.3294
MEM 63.921875 1717599098.4296
MEM 63.921875 1717599098.5304
MEM 63.921875 1717599098.6306
MEM 63.921875 1717599098.7313
MEM 63.921875 1717599098.8316
MEM 63.921875 1717599098.9323
MEM 63.921875 1717599099.0326
